AreaID,ManagedAreaName,ParameterName,ShellType,SizeClass,HabitatType,N_Years,SufficientData,EarliestLiveDate,LatestLiveDate,LastSampleDate,N_Data,Min,Max,Median,Mean,StandardDeviation,Programs,ProgramIDs,Intercept,ModelEstimate,StandardError,LowerConfidence,UpperConfidence
2,Apalachicola Bay Aquatic Preserve,Density,Live Oyster Shells,,Natural,6,TRUE,2010,2016,2016-11-16T00:00:00Z,235,0,990,1,39.6553191489362,120.494974198328,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery","5063, 5073",13.1226534735641,-0.237203330620506,0.111819961522676,-0.468518312522057,-0.0230966024665141
2,Apalachicola Bay Aquatic Preserve,Density,Live Oyster Shells,,Restored,7,TRUE,2016,2023,2023-08-15T00:00:00Z,2550,0,1380,8,67.2956862745098,140.182785810676,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",,,,,
2,Apalachicola Bay Aquatic Preserve,Percent Live,Live Oyster Shells,,Natural,6,TRUE,2018,2024,2024-01-29T00:00:00Z,184,0,71,0,6.19565217391304,11.9532231567323,Apalachicola Intertidal Oyster Project,5010,-29.9765415785084,0.48233472079007,0.023017390683631,0.437673720401743,0.528068344240612
2,Apalachicola Bay Aquatic Preserve,Percent Live,Live Oyster Shells,,Restored,7,TRUE,2016,2023,2023-08-15T00:00:00Z,1651,4.76190476,100,91.8918918,83.1594175526651,21.0581995154818,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Dead Oyster Shells,>75mm,Natural,5,TRUE,1621,1993,2018-10-03T22:39:30Z,16,75.94,106.17,82.77,85.545625,8.68893546893596,Historical Oyster Body Size (HOBS) Study,5035,,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Dead Oyster Shells,25-75mm,Natural,10,TRUE,1621,2002,2018-10-03T22:39:30Z,1460,25,74.6,35.435,37.7455616438356,10.1468715619389,Historical Oyster Body Size (HOBS) Study,5035,,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Dead Oyster Shells,,Natural,10,TRUE,1621,2002,2018-10-03T22:39:30Z,488,7.55,24.98,21.82,21.3472336065574,3.01121564179892,Historical Oyster Body Size (HOBS) Study,5035,,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Live Oyster Shells,>75mm,Natural,3,FALSE,2013,2016,2016-11-15T00:00:00Z,21,75,133,84,87.0952380952381,13.4532700928241,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery","5063, 5073",,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Live Oyster Shells,>75mm,Restored,37,TRUE,1982,2023,2023-08-09T00:00:00Z,19751,75,170,80,84.8538301858134,10.0476712025602,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Live Oyster Shells,25-75mm,Natural,4,FALSE,2013,2017,2017-08-29T00:00:00Z,256,25,74,40,42.195703125,11.7769141524704,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073",,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Live Oyster Shells,25-75mm,Restored,37,TRUE,1982,2023,2023-08-09T00:00:00Z,121890,25,74,40,43.7857002215112,14.4096635204324,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Live Oyster Shells,,Natural,4,FALSE,2013,2017,2017-08-29T00:00:00Z,437,2,24,15,14.1183066361556,5.02974490637346,"Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery, Oyster shell heights and taxonomic diversity in 2015-2017 among previously documented oiled and non-oiled reefs in Louisiana, Alabama, and the Florida panhandle","5063, 5071, 5073",,,,,
2,Apalachicola Bay Aquatic Preserve,Shell Height,Live Oyster Shells,,Restored,34,TRUE,1982,2023,2023-08-15T00:00:00Z,57079,0,24,15,15.2007042870408,5.11527773339561,"Apalachicola Bay Oyster Size Class Monitoring, NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007, 10002",,,,,
3,Apalachicola National Estuarine Research Reserve,Density,Live Oyster Shells,,Natural,7,TRUE,2010,2019,2019-12-16T00:00:00Z,367,0,3552,1,131.656675749319,406.054630167817,"Apalachicola Bay Intertidal Oyster Sampling, Deepwater Horizon NRDA Oyster Technical Working Group Oyster Quadrat Abundance Sampling, Distribution and Condition of Intertidal Eastern Oyster (Crassostrea virginica) Reefs in Apalachicola Bay Florida Based on High-Resolution Satellite Imagery","5063, 5073, 5075",7.08375883578407,-0.0356020556284522,0.100317829307737,-0.230653181831785,0.158772547716949
3,Apalachicola National Estuarine Research Reserve,Density,Live Oyster Shells,,Restored,7,TRUE,2016,2023,2023-08-15T00:00:00Z,3270,0,1380,24,103.440978593272,155.93975088687,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",,,,,
3,Apalachicola National Estuarine Research Reserve,Percent Live,Live Oyster Shells,,Natural,6,TRUE,2018,2024,2024-01-29T00:00:00Z,294,0,71,3,7.35374149659864,11.6518335407469,"Apalachicola Bay Intertidal Oyster Sampling, Apalachicola Intertidal Oyster Project","5010, 5075",-15.7726721525357,0.233326524790849,0.0142286649438556,0.206490579588815,0.262472043900966
3,Apalachicola National Estuarine Research Reserve,Percent Live,Live Oyster Shells,,Restored,7,TRUE,2016,2023,2023-08-15T00:00:00Z,2368,4.76190476,100,92.066094,84.552474480511,19.3878337843376,"NRDA Oyster Cultch Recovery Project, RESTORE Oyster Cultch Recovery","4044, 5007",,,,,
3,Apalachicola National Estuarine Research Reserve,Shell Height,Dead Oyster Shells,>75mm,Natural,14,TRUE,1581,2011,2018-10-03T22:39:30Z,75,75.34,115.35,82.19,84.79,8.96946155243115,Historical Oyster Body Size (HOBS) Study,5035,,,,,
